eventId,sourceSymbol,eventDate,mappedCik,mappingConfidence,companyName,datasetOrigin,actorFamily,stage2SealRole,trainingEligible,windowStart,windowEnd,edgarLogAvailable
CONTROL_FILING_ALIGNED_SURGE_CONTROL_CVU_20040505,CVU,2004-05-05,889348,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2004-04-25,2004-05-10,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_CVU_20090324,CVU,2009-03-24,889348,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2009-03-14,2009-03-29,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_DE_20001121,DE,2000-11-21,315189,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2000-11-11,2000-11-26,0
CONTROL_FILING_ALIGNED_SURGE_CONTROL_DE_20071121,DE,2007-11-21,315189,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2007-11-11,2007-11-26,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_DIS_20200319,DIS,2020-03-19,1744489,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2020-03-09,2020-03-24,0
CONTROL_FILING_ALIGNED_SURGE_CONTROL_DIS_20250507,DIS,2025-05-07,1744489,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2025-04-27,2025-05-12,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_DKS_20070821,DKS,2007-08-21,1089063,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2007-08-11,2007-08-26,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_DKS_20080821,DKS,2008-08-21,1089063,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2008-08-11,2008-08-26,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_DPLS_20040903,DPLS,2004-09-03,866439,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2004-08-24,2004-09-08,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_DPLS_20080729,DPLS,2008-07-29,866439,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2008-07-19,2008-08-03,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_DSGT_20200305,DSGT,2020-03-05,1413909,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2020-02-24,2020-03-10,0
CONTROL_FILING_ALIGNED_SURGE_CONTROL_EA_20110202,EA,2011-02-02,712515,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2011-01-23,2011-02-07,1
